_id,Protein Conv,Total Fat Conv,Carbohydrate Conv,"Sugars, total Conv","Fiber, total dietary Conv",Calcium Conv,Iron Conv,Sodium Conv,Vitamin C Conv,Cholesterol Conv,Total Vitamin A Conv,addedSugar Conv,calories Conv
612d009d4c4f3be6d9e2593a,"[12.0, ""g"", 12.0]","[8.0, ""g"", 8.0]","[39.0, ""g"", 39.0]","[35.0, ""g"", 35.0]","[1.0, ""g"", 1.0]","[0.45, ""DV"", 0.585]","[0.06, ""DV"", 0.00108]","[320.0, ""mg"", 0.32]","[0.04, ""DV"", 0.0024]","[30.0, ""mg"", 0.03]","[0.15, ""DV"", 0.000135]",NaN,"[270.0, null, 270.0]"
612d009d4c4f3be6d9e2598d,"[12.0, ""g"", 12.0]","[0.0, ""g"", 0.0]","[36.0, ""g"", 36.0]","[33.0, ""g"", 33.0]","[2.0, ""g"", 2.0]","[434.0, ""mg"", 0.434]","[2.0, ""mg"", 0.002]","[320.0, ""mg"", 0.32]",NaN,"[10.0, ""mg"", 0.01]","[225.0, ""mcg"", 0.000225]","[17.0, ""g"", 17.0]","[200.0, null, 200.0]"
612d009d4c4f3be6d9e2596e,"[12.0, ""g"", 12.0]","[7.0, ""g"", 7.0]","[18.0, ""g"", 18.0]","[18.0, ""g"", 18.0]","[0.0, ""g"", 0.0]","[430.0, ""mg"", 0.43]","[0.0, ""DV"", 0.0]","[170.0, ""mg"", 0.17]",NaN,"[30.0, ""mg"", 0.03]","[220.0, ""mcg"", 0.00021999999999999998]","[0.0, ""g"", 0.0]","[180.0, null, 180.0]"
612d009d4c4f3be6d9e258fe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
612d009d4c4f3be6d9e25924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
612d009d4c4f3be6d9e2596a,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
612d009d4c4f3be6d9e211da,"[13.0, ""g"", 13.0]","[8.0, ""g"", 8.0]","[43.0, ""g"", 43.0]","[40.0, ""g"", 40.0]","[1.0, ""g"", 1.0]","[0.45, ""DV"", 0.585]","[0.04, ""DV"", 0.0007199999999999999]","[300.0, ""mg"", 0.3]","[0.06, ""DV"", 0.0035999999999999995]","[35.0, ""mg"", 0.035]","[0.15, ""DV"", 0.000135]",NaN,"[300.0, null, 300.0]"
612d009d4c4f3be6d9e258fa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
612d009d4c4f3be6d9e25923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
612d009d4c4f3be6d9e25902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
612d009d4c4f3be6d9e249c1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
612d009d4c4f3be6d9e213e7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
